Building Name,SqFt,LED,Rent,OpEx,Rent+OpEx,Assigned,Attendees,Capacity
Building 1,"4,588",30-Apr-2026,"$3,44,100","$82,584","$4,26,684",38,23,32
Building 2,"8,522",31-Jan-2027,"$5,11,320","$1,44,874","$6,56,194",75,51,45
Building 3,"10,254",30-Jun-2026,"$7,17,780","$2,05,080","$9,22,860",50,36,66
Building 4,"2,40,122",31-Aug-2027,"$1,92,09,760","$72,03,660","$2,64,13,420",950,380,"1,091"
Building 5,"80,458",30-Jun-2027,"$48,27,480","$19,30,992","$67,58,472",510,230,488
Building 6,"25,415",31-May-2027,"$13,97,825","$5,08,300","$19,06,125",140,45,169
Building 7,"1,25,487",30-Apr-2029,"$62,74,350","$18,82,305","$81,56,655",550,303,697
Building 8,"3,240",31-Jan-2029,"$2,72,160","$71,280","$3,43,440",25,14,21
Building 9,"1,58,405",31-Mar-2031,"$71,28,225","$23,76,075","$95,04,300",810,486,990
Building 10,"3,356",30-Nov-2027,"$2,55,056","$60,408","$3,15,464",10,6,18
Building 11,"5,210",30-Nov-2026,"$3,54,280","$1,14,620","$4,68,900",20,3,25
Building 12,"5,884",31-Oct-2027,"$4,29,532","$1,23,564","$5,53,096",15,2,28
Building 13,"1,630",28-Feb-2030,"$99,430","$26,080","$1,25,510",5,4,10
Building 14,"3,524",31-Aug-2031,"$1,83,248","$52,860","$2,36,108",24,12,20
Building 15,"6,520",31-May-2029,"$2,93,400","$78,240","$3,71,640",60,14,37
Building 16,"1,520",31-Mar-2026,"$53,200","$12,160","$65,360",2,1,9
Building 17,"2,455",30-Sep-2028,"$2,70,050","$1,10,475","$3,80,525",10,7,16
Building 18,"7,885",28-Feb-2027,"$7,09,650","$2,36,550","$9,46,200",50,23,47
Building 19,"4,850",31-Jul-2026,"$2,42,500","$58,200","$3,00,700",35,23,44
Building 20,"42,587",30-Nov-2028,"$17,03,480","$8,51,740","$25,55,220",270,95,243
